openbench_Model,simplebench_Score (AVG@5),livebench_plot_unscrambling,2,3,4,5,6,7,8,9,10,11,12
ChatGPT-4o,,40.952,0,0,0,2,3,0,0,0,2,1,0
Claude 3 Opus,23.50%,,0,0,0,0,2,0,0,0,1,0,0
Claude 3.5 Haiku,,24.955,0,0,0,0,1,0,0,0,0,0,0
Claude 3.5 Sonnet,41.40%,50.264,0,0,0,0,2,0,0,0,3,0,0
Claude 3.7 Sonnet,44.90%,53.749,0,0,0,0,0,0,0,0,3,0,0
Claude 3.7 Sonnet Thinking,46.40%,55.475,0,0,0,0,0,0,0,0,3,0,0
Claude 4 Opus,,59.174,0,0,0,2,0,0,0,0,3,0,0
Claude 4 Opus Thinking,58.80%,60.497,0,2,0,0,0,0,0,0,3,1,0
Claude 4 Sonnet,,54.209,0,0,0,2,0,0,0,0,3,0,0
Claude 4 Sonnet Thinking,45.50%,55.898,0,0,0,2,0,0,0,0,3,0,0
Claude Opus 4.1,,,0,0,0,1,0,0,0,0,3,0,0
Claude Opus 4.1 Thinking,60.00%,60.458,0,2,0,0,0,0,0,0,3,0,0
Command A,,34.755,0,0,0,0,2,1,2,0,0,0,0
Command R,,17.8,0,1,0,0,3,0,0,0,0,0,0
Command R Plus,17.40%,22.582,0,0,0,0,2,0,0,0,0,0,0
DeepSeek R1,30.90%,38.812,0,0,0,0,3,0,0,0,0,0,0
DeepSeek R1 (2025-05-28),40.80%,46.968,0,2,2,0,3,0,0,0,2,2,0
DeepSeek R1 Distill Llama 70B,,25.984,0,0,0,0,1,0,0,0,0,0,0
DeepSeek R1 Distill Qwen 32B,,16.912,0,0,0,1,0,0,0,0,0,0,0
DeepSeek V3 (2024-12-26),,,0,0,0,0,1,0,0,0,0,0,0
DeepSeek V3 (2025-03-24),27.20%,42.301,0,0,0,0,3,0,0,0,0,0,0
DeepSeek V3.1 (Non-Reasoning),,45.235,0,0,0,0,0,0,0,0,3,0,0
DeepSeek V3.1 (Reasoning),40.00%,49.037,0,1,2,0,3,0,0,0,0,1,0
Gemini 1.5 Flash,,,0,1,2,0,3,0,0,0,0,0,0
Gemini 1.5 Flash 8B,,,0,1,2,0,3,0,0,0,0,0,0
Gemini 2.0 Flash,,,0,1,2,0,3,0,0,0,0,0,0
Gemini 2.0 Flash Lite,,24.656,0,0,0,0,3,0,0,0,0,0,0
Gemini 2.5 Flash Lite Preview (2025-06-17),,33.608,0,0,0,2,0,0,0,0,0,0,0
Gemini 2.5 Flash Lite Preview (2025-06-17) Nonthinking,,,0,0,0,0,3,0,0,0,0,0,0
Gemini 2.5 Flash Preview (2025-05-20),,51.949,0,1,0,2,3,0,0,0,3,0,0
Gemini 2.5 Flash Preview Nonthinking,,,0,0,0,0,3,1,1,0,0,0,0
Gemini 2.5 Pro Preview (2025-06-05),62.40%,62.987,0,3,0,2,2,0,1,1,3,0,0
Gemini 2.5 Pro Preview (2025-06-05) Limited,,61.734,2,2,0,3,3,0,1,0,3,0,0
Gemma 3 12B,,23.809,0,0,0,0,1,0,0,0,0,0,0
Gemma 3 27B,,28.61,0,0,0,0,1,0,0,0,0,0,0
Gemma 3 4B,,11.011,0,0,0,0,1,0,0,0,0,0,0
Gemma 3n 4B,,,0,0,0,0,0,1,0,0,0,0,0
GLM 4.5 Air,,33.202,0,0,1,0,3,0,0,1,0,0,0
GLM-4.5,,49.035,0,1,1,0,2,0,1,0,0,2,0
GPT OSS 120B,22.10%,18.605,0,1,1,0,2,0,1,0,0,2,0
GPT OSS 20B,,,0,1,1,0,2,0,1,0,0,0,0
GPT-4.1,27.00%,42.82,0,0,0,2,3,0,0,0,3,0,0
GPT-4.1 Mini,,27.655,0,0,0,2,1,0,0,0,0,3,0
GPT-4.1 Nano,,12.707,0,0,0,1,2,0,0,0,0,1,0
GPT-4o (2024-08-06),17.80%,,0,0,0,0,3,0,0,0,0,0,0
GPT-4o (2024-11-20),,35.382,0,0,0,0,3,0,0,0,3,0,0
GPT-4o Mini,10.70%,,0,0,0,0,2,0,0,0,0,0,0
GPT-5 (high),56.70%,59.481,0,2,1,3,3,2,3,2,3,3,0
GPT-5 (low),,52.704,0,0,1,3,3,0,2,0,3,3,0
GPT-5 (medium),,56.963,0,0,0,3,3,3,2,1,3,2,0
GPT-5 (minimal),,42.048,0,0,2,3,3,0,0,0,3,0,0
GPT-5 Chat,,44.222,0,0,0,2,1,0,0,0,3,0,0
GPT-5 Mini,,37.437,0,0,0,1,2,0,0,0,1,0,0
GPT-5 Mini (High),,41.895,1,0,0,1,3,0,2,0,0,0,0
GPT-5 Mini (low),,28.737,0,0,0,0,3,0,0,0,1,0,0
GPT-5 Mini (minimal),,25.866,0,0,0,0,3,0,0,0,1,0,0
GPT-5 Nano,,16.516,0,0,0,3,1,0,1,0,0,1,0
GPT-5 Nano (high),,17.358,0,0,0,3,0,0,0,0,0,1,0
GPT-5 Nano (low),,13.871,0,0,0,1,0,0,0,0,0,1,0
GPT-5 Nano (minimal),,12.862,0,0,0,1,0,0,0,0,0,0,0
Grok 2,22.70%,,0,0,0,1,0,0,0,0,0,0,0
Grok 3 Beta,36.10%,45.223,0,0,0,1,2,0,0,0,3,0,0
Grok 3 Mini Beta (High),,47.429,0,3,0,0,0,0,0,0,3,1,0
